ID,Geo Response,Is the bakery functional?,What is the price of a bag of bread (7-8 loaves)?,How would you describe the traffic at this bakery?,Does it look like the bakery has been damaged in the past 2 weeks?,Have you seen people being turned away from the bakery/has the bakery run out of bread in the past 2 weeks?
None,POINT (37.1511858701706 36.214674849895),Yes   ,15.0,Somewhat busy   ,No   ,No   
None,POINT (37.1337032318115 36.2380428875176),Yes   ,75.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1326303482056 36.2340275438345),Yes   ,75.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1895360946655 36.2280733787932),Yes   ,75.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1960163116455 36.2156962655857),Yes   ,75.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1571886539459 36.2300033395059),Yes   ,75.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1603214740753 36.2294407998218),"No, it appears closed   ",0.0,Closed   ,No   ,Yes   
None,POINT (37.162960767746 36.2295100356936),"No, it appears closed   ",0.0,Closed   ,No   ,Yes   
None,POINT (37.1578323841095 36.2300639204613),Yes   ,75.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1589267253876 36.2278743218397),"No, it appears closed   ",0.0,Closed   ,No   ,Yes   
None,POINT (37.1755027770996 36.2225948003364),Yes   ,75.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1803200244904 36.2199635614819),Yes   ,75.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1914029121399 36.215583737392),Yes   ,75.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1861350536346 36.2152115275984),Yes   ,75.0,Works with the Council   ,No   ,Yes   
None,POINT (37.2051358222961 36.2284628365846),Yes   ,75.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1986770629883 36.2231141133362),Yes   ,75.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1877551078796 36.2150384061608),Yes   ,75.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1718603372574 36.2296961067954),"No, it appears closed   ",0.0,Closed   ,No   ,Yes   
None,POINT (37.1701061725616 36.2275151525765),"No, it appears closed   ",0.0,Closed   ,No   ,Yes   
None,POINT (37.1699720621109 36.227809411854),"No, it appears closed   ",0.0,Closed   ,No   ,Yes   
None,POINT (37.1707820892334 36.2280344329074),"No, it appears closed   ",75.0,Closed   ,No   ,Yes   
None,POINT (37.166393995285 36.2328592477844),Yes   ,75.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1361064910889 36.2353429377539),Yes   ,75.0,Works with the Council   ,No   ,Yes   
None,POINT (37.2022390365601 36.2185526963033),Yes   ,75.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1949219703674 36.231881327299),Yes   ,75.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1710932254791 36.2334736871425),Yes   ,75.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1538734436035 36.2313447639605),Yes   ,75.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1597635746002 36.2306783817852),Yes   ,75.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1621882915497 36.2284022543889),"No, it appears closed   ",0.0,Closed   ,No   ,Yes   
None,POINT (37.158637046814 36.2279175951336),"No, it appears closed   ",0.0,Closed   ,No   ,Yes   
None,POINT (37.1774876117706 36.2378005881422),Yes   ,75.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1792900562286 36.238562097936),Yes   ,75.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1880340576172 36.2284282181928),Yes   ,75.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1877765655518 36.2178429262868),Yes   ,75.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1876049041748 36.2155923934126),Yes   ,75.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1978133916855 36.2158823695508),Yes   ,75.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1755242347717 36.2284368727922),Yes   ,75.0,Works with the Council   ,No   ,Yes   
None,POINT (37.168550491333 36.2295446536065),"No, it appears closed   ",0.0,Closed   ,No   ,Yes   
None,POINT (37.1722197532654 36.2316390088279),Yes   ,75.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1721982955933 36.2313966896058),Yes   ,75.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1718817949295 36.2301201741636),Yes   ,75.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1543025970459 36.2000835965965),"No, it appears closed   ",0.0,Closed   ,No   ,No   
None,POINT (37.1515291929245 36.2019016999704),"No, it appears closed   ",0.0,Closed   ,No   ,No   
None,POINT (37.1593075990677 36.190269438159),Yes   ,75.0,Works with the Council   ,No   ,No   
None,POINT (37.1626496315002 36.2049231212242),"No, it appears destroyed   ",0.0,Closed   ,No   ,No   
None,POINT (37.1645486354828 36.2076414349449),"No, it appears closed   ",0.0,Closed   ,No   ,No   
None,POINT (37.1617698669434 36.206723798194),"No, it appears destroyed   ",0.0,Closed   ,No   ,No   
None,POINT (37.1625852584839 36.2109612855745),"No, it appears destroyed   ",0.0,Closed   ,No   ,No   
None,POINT (37.1613138914108 36.2103120429441),"No, it appears destroyed   ",0.0,Closed   ,No   ,No   
None,POINT (37.1556383371353 36.2065376724462),"No, it appears destroyed   ",0.0,Closed   ,No   ,No   
None,POINT (37.1566897630692 36.2089053320996),"No, it appears destroyed   ",0.0,Closed   ,No   ,No   
None,POINT (37.1612173318863 36.204568175203),"No, it appears closed   ",0.0,Closed   ,No   ,No   
None,POINT (37.1602195501328 36.2033128653862),"No, it appears closed   ",0.0,Closed   ,No   ,No   
None,POINT (37.161705493927 36.2119091701419),Yes   ,15.0,Somewhat busy   ,No   ,Yes   
None,POINT (37.1768438816071 36.2001788316308),Yes   ,75.0,Works with the Council   ,No   ,No   
None,POINT (37.1734964847565 36.2031267315271),Yes   ,75.0,Works with the Council   ,No   ,No   
None,POINT (37.1751165390015 36.2041223260906),Yes   ,75.0,Works with the Council   ,No   ,No   
None,POINT (37.1757280826569 36.2036331877354),Yes   ,75.0,Works with the Council   ,No   ,No   
None,POINT (37.1703636646271 36.2030791158177),"No, it appears closed   ",0.0,Closed   ,No   ,No   
None,POINT (37.1699237823486 36.1982481351222),"No, it appears closed   ",0.0,Closed   ,No   ,No   
None,POINT (37.1662920713425 36.1966550582053),Yes   ,75.0,Works with the Council   ,No   ,Yes   
None,POINT (37.158819437027 36.1917717291758),Yes   ,75.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1598279476166 36.1912435494521),Yes   ,75.0,Works with the Council   ,No   ,No   
None,POINT (37.1637547016144 36.194971036765),Yes   ,75.0,Works with the Council   ,No   ,No   
None,POINT (37.1736252307892 36.2299687217961),Yes   ,75.0,Works with the Council   ,No   ,Yes   
None,POINT (37.175384759903 36.2327207819103),Yes   ,75.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1796226501465 36.2332832979985),Yes   ,75.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1771657466888 36.2323832703148),Yes   ,75.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1828413009644 36.2015510690348),Yes   ,75.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1494907140732 36.1914037354824),"No, it appears closed   ",0.0,Closed   ,No   ,Yes   
None,POINT (37.1510624885559 36.1834113517459),Yes   ,75.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1574676036835 36.2070354496178),"No, it appears closed   ",0.0,Closed   ,No   ,No   
None,POINT (37.1575963497162 36.2099181664565),"No, it appears closed   ",0.0,Closed   ,No   ,No   
None,POINT (37.1580094099045 36.2104851748389),"No, it appears destroyed   ",0.0,Closed   ,No   ,No   
None,POINT (37.1595275402069 36.2081218914051),"No, it appears destroyed   ",0.0,Closed   ,No   ,No   
None,POINT (37.1621561050415 36.2067151411923),Yes   ,75.0,Works with the Council   ,No   ,Yes   
None,POINT (37.165492773056 36.2045768324421),"No, it appears destroyed   ",0.0,Closed   ,No   ,No   
None,POINT (37.1487236022949 36.1905724963042),"No, it appears closed   ",0.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1487021446228 36.1885722908728),Yes   ,75.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1519637107849 36.1859269190863),"No, it appears closed   ",0.0,Closed   ,No   ,Yes   
None,POINT (37.1565824747086 36.1847275967134),"No, it appears closed   ",0.0,Closed   ,No   ,Yes   
None,POINT (37.1596992015839 36.1845327592148),Yes   ,75.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1640765666962 36.1858316667172),"No, it appears closed   ",0.0,Closed   ,No   ,Yes   
None,POINT (37.1768116950989 36.1893732450677),Yes   ,75.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1550643444061 36.1965121991806),Yes   ,75.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1750468015671 36.1884164285638),"No, it appears closed   ",0.0,Closed   ,No   ,Yes   
None,POINT (37.1731424331665 36.1877626693888),Yes   ,75.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1903836727142 36.195360659342),Yes   ,75.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1876531839371 36.1954688874915),Yes   ,75.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1827125549316 36.1951961522682),"No, it appears closed   ",0.0,Closed   ,No   ,Yes   
None,POINT (37.1835654973984 36.1984602543314),Yes   ,75.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1771442890167 36.1999450727036),Yes   ,80.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1835976839066 36.2031050880264),"No, it appears closed   ",0.0,Closed   ,No   ,Yes   
None,POINT (37.1841716766357 36.200966680652),"No, it appears closed   ",0.0,Closed   ,Yes   ,Yes   
None,POINT (37.1596831083298 36.1933562469721),Yes   ,75.0,Works with the Council   ,No   ,Yes   
None,POINT (37.181875705719 36.1998022196822),"No, it appears closed   ",0.0,Closed   ,No   ,Yes   
None,POINT (37.1810388565063 36.2008671177518),Yes   ,75.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1786463260651 36.2016679461878),Yes   ,70.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1718549728393 36.2050832792677),Yes   ,75.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1756207942963 36.2079833817372),"No, it appears closed   ",0.0,Closed   ,No   ,Yes   
None,POINT (37.1763825416565 36.2084421940733),"No, it appears destroyed   ",0.0,Closed   ,No   ,Yes   
None,POINT (37.1786141395569 36.2101562239113),Yes   ,70.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1800088882446 36.2112988896136),"No, it appears closed   ",0.0,Closed   ,No   ,Yes   
None,POINT (37.182240486145 36.2080093523186),Yes   ,75.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1830344200134 36.2083036849722),Yes   ,75.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1850085258484 36.2088923469586),Yes   ,75.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1886885166168 36.2099311514273),"No, it appears closed   ",0.0,Closed   ,No   ,Yes   
None,POINT (37.1965312957764 36.2010575857981),Yes   ,75.0,Works with the Council   ,Yes   ,Yes   
None,POINT (37.1994924545288 36.2032739071733),Yes   ,75.0,Works with the Council   ,No   ,Yes   
None,POINT (37.2051250934601 36.2111344160329),Yes   ,75.0,Works with the Council   ,No   ,Yes   
None,POINT (37.2029793262482 36.2085547325374),Yes   ,75.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1943533420563 36.2066588706578),Yes   ,75.0,Works with the Council   ,No   ,Yes   
None,POINT (37.195018529892 36.2099051814836),Yes   ,75.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1603912115097 36.1922869174414),Yes   ,75.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1603375673294 36.1930272240564),Yes   ,75.0,Works with the Council   ,No   ,No   
None,POINT (37.192690372467 36.2094810045172),Yes   ,75.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1913278102875 36.2077972589849),Yes   ,75.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1908611059189 36.2082387587468),Yes   ,75.0,Works with the Council   ,Yes   ,Yes   
None,POINT (37.1899437904358 36.2082950281453),Yes   ,75.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1670860052109 36.1943043447474),Yes   ,75.0,Works with the Council   ,No   ,No   
None,POINT (37.1666729450226 36.1957762546204),Yes   ,75.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1714043617249 36.2049923787968),Yes   ,75.0,Works with the Council   ,No   ,No   
None,POINT (37.1727293729782 36.1991918447456),Yes   ,75.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1732068061829 36.2019536451606),"No, it appears closed   ",0.0,Very busy   ,No   ,No   
None,POINT (37.1232157945633 36.2263727237117),Yes   ,15.0,Very busy   ,No   ,Yes   
None,POINT (37.1454674005508 36.22395366206),Yes   ,15.0,Very busy   ,No   ,Yes   
None,POINT (37.142978310585 36.2254812714152),"No, it appears closed   ",0.0,Closed   ,No   ,No   
None,POINT (37.1142786741257 36.2279954870022),Yes   ,15.0,Very busy   ,No   ,Yes   
None,POINT (37.1453011035919 36.2161290648223),Yes   ,15.0,Very busy   ,No   ,Yes   
None,POINT (37.1401941776276 36.2095113029482),Yes   ,15.0,Very busy   ,No   ,Yes   
None,POINT (37.1330595016479 36.2241310913069),Yes   ,15.0,Very busy   ,No   ,Yes   
None,POINT (37.1365946531296 36.2177087617186),Yes   ,15.0,Very busy   ,No   ,Yes   
None,POINT (37.1286445856094 36.2243301577877),Yes   ,15.0,Very busy   ,No   ,Yes   
None,POINT (37.1186131238937 36.2146618657114),Yes   ,15.0,Very busy   ,No   ,Yes   
None,POINT (37.109831571579 36.2152071995671),Yes   ,15.0,Very busy   ,No   ,Yes   
None,POINT (37.1236449480057 36.2185353849161),Yes   ,15.0,Very busy   ,No   ,Yes   
None,POINT (37.1407252550125 36.1762365618984),Yes   ,75.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1470069885254 36.1991009374329),"No, it appears destroyed   ",0.0,Closed   ,Yes   ,Yes   
None,POINT (37.1621882915497 36.2283935997857),"No, it appears closed   ",0.0,Closed   ,No   ,Yes   
None,POINT (37.1908664703369 36.2082171166596),Yes   ,75.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1899491548538 36.2082906997314),Yes   ,75.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1964776515961 36.2010402705403),Yes   ,75.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1798586845398 36.2112382941241),"No, it appears closed   ",0.0,Closed   ,No   ,Yes   
None,POINT (37.1665173768997 36.2163021838466),"No, it appears closed   ",0.0,Closed   ,No   ,No   
None,POINT (37.1669197082519 36.2057195796088),Yes   ,65.0,Works with the Council   ,No   ,No   
None,POINT (37.1659916639328 36.2084595076937),Yes   ,65.0,Works with the Council   ,No   ,No   
None,POINT (37.1529078483582 36.2103553259537),Yes   ,15.0,Somewhat busy   ,No   ,No   
None,POINT (37.1402156352997 36.2094074225645),Yes   ,15.0,Very busy   ,No   ,No   
None,POINT (37.16403901577 36.2168994415399),Yes   ,15.0,Somewhat busy   ,No   ,No   
None,POINT (37.1657878160477 36.2157914816232),Yes   ,15.0,Somewhat busy   ,No   ,No   
None,POINT (37.1646451950073 36.2185310570687),Yes   ,15.0,Very busy   ,No   ,No   
None,POINT (37.1556276082993 36.212272739258),Yes   ,15.0,Somewhat busy   ,No   ,No   
None,POINT (37.1614158153534 36.2131946390873),Yes   ,15.0,Somewhat busy   ,No   ,No   
None,POINT (37.1505904197693 36.2140126537846),Yes   ,15.0,Somewhat busy   ,No   ,No   
None,POINT (37.1149921417236 36.1816361179108),Yes   ,15.0,Somewhat busy   ,No   ,No   
None,POINT (37.1065592765808 36.1961572150211),Yes   ,15.0,Somewhat busy   ,No   ,No   
None,POINT (37.0998805761337 36.2019623026889),Yes   ,15.0,Somewhat busy   ,No   ,No   
None,POINT (37.1411490440369 36.2045941469176),Yes   ,15.0,Somewhat busy   ,No   ,No   
None,POINT (37.175390124321 36.2161636886578),"No, it appears destroyed   ",0.0,Closed   ,Yes   ,No   
None,POINT (37.1612977981567 36.2156659695495),Yes   ,15.0,Very busy   ,No   ,No   
None,POINT (37.1631914377213 36.2139174355824),Yes   ,15.0,Somewhat busy   ,No   ,Yes   
None,POINT (37.151437997818 36.2162242803331),Yes   ,15.0,Somewhat busy   ,No   ,No   
None,POINT (37.1511805057526 36.2146705218341),Yes   ,15.0,Somewhat busy   ,No   ,No   
None,POINT (37.1364498138428 36.1714428992469),Yes   ,75.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1400707960129 36.1764574010788),Yes   ,75.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1416211128235 36.1767172110824),Yes   ,75.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1835815906525 36.1984775701598),Yes   ,75.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1827232837677 36.1952134688185),"No, it appears closed   ",0.0,Closed   ,No   ,Yes   
None,POINT (37.1407198905945 36.176219241152),Yes   ,75.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1420073509216 36.1812810663161),Yes   ,75.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1186292171478 36.191879962286),"No, it appears closed   ",0.0,Closed   ,No   ,Yes   
None,POINT (37.1239829063416 36.1895680705252),Yes   ,20.0,Somewhat busy   ,No   ,Yes   
None,POINT (37.1326625347137 36.1874466116719),"No, it appears closed   ",0.0,Closed   ,No   ,Yes   
None,POINT (37.144228219986 36.1932480159024),"No, it appears closed   ",0.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1280705928802 36.1929016754742),"No, it appears destroyed   ",0.0,Closed   ,No   ,Yes   
None,POINT (37.1241867542267 36.1849614010719),"No, it appears closed   ",0.0,Closed   ,No   ,Yes   
None,POINT (37.1205174922943 36.1768904172728),"No, it appears closed   ",0.0,Closed   ,No   ,Yes   
None,POINT (37.1423882246017 36.1763015146632),Yes   ,75.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1163547039032 36.1909621407676),Yes   ,20.0,Somewhat busy   ,No   ,Yes   
None,POINT (37.1425116062164 36.19213972114),Yes   ,75.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1529185771942 36.1594986052718),"No, it appears destroyed   ",0.0,Closed   ,No   ,Yes   
None,POINT (37.1565878391266 36.1577314920895),"No, it appears closed   ",0.0,Closed   ,No   ,Yes   
None,POINT (37.1245729923248 36.1815754994598),"No, it appears destroyed   ",0.0,Closed   ,No   ,Yes   
None,POINT (37.1294760704041 36.1740411267838),Yes   ,75.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1325874328613 36.1820864249356),Yes   ,75.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1549516916275 36.1831602235488),Yes   ,75.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1231245994568 36.1791940231937),"No, it appears destroyed   ",0.0,Closed   ,No   ,Yes   
None,POINT (37.1210753917694 36.1812377672311),"No, it appears destroyed   ",0.0,Closed   ,No   ,Yes   
None,POINT (37.1245193481445 36.1738852355609),"No, it appears destroyed   ",0.0,Closed   ,No   ,Yes   
None,POINT (37.1317613124847 36.1799820833542),Yes   ,75.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1299588680267 36.1816014788017),Yes   ,75.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1326303482056 36.1808307546618),Yes   ,75.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1569150686264 36.1847752235837),Yes   ,75.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1537393331528 36.1802418816697),Yes   ,75.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1510410308838 36.1834026921663),Yes   ,75.0,Works with the Council   ,No   ,Yes   
None,POINT (37.161700129509 36.2119048419279),Yes   ,15.0,Somewhat busy   ,No   ,Yes   
None,POINT (37.1566843986511 36.2089010037195),"No, it appears destroyed   ",0.0,Closed   ,No   ,No   
None,POINT (37.1575963497162 36.2099138381324),"No, it appears closed   ",0.0,Closed   ,No   ,No   
None,POINT (37.1625798940659 36.2109136746313),"No, it appears destroyed   ",0.0,Closed   ,No   ,No   
None,POINT (37.1574300527573 36.2070614205138),"No, it appears closed   ",0.0,Closed   ,No   ,No   
None,POINT (37.159543633461 36.2081348766739),"No, it appears destroyed   ",0.0,Closed   ,No   ,No   
None,POINT (37.1645486354828 36.2076371064949),"No, it appears closed   ",0.0,Closed   ,No   ,No   
None,POINT (37.1626281738281 36.2049274498243),"No, it appears destroyed   ",0.0,Closed   ,No   ,No   
None,POINT (37.16548204422 36.204563846583),"No, it appears destroyed   ",0.0,Closed   ,No   ,No   
None,POINT (37.1601980924606 36.2033085366969),"No, it appears closed   ",0.0,Closed   ,No   ,No   
None,POINT (37.161163687706 36.2045941469176),"No, it appears closed   ",0.0,Closed   ,No   ,No   
None,POINT (37.1556329727173 36.206542000957),"No, it appears destroyed   ",0.0,Closed   ,No   ,No   
None,POINT (37.1613192558289 36.2103033863393),"No, it appears destroyed   ",0.0,Closed   ,No   ,No   
None,POINT (37.1580040454865 36.2104765182533),"No, it appears destroyed   ",0.0,Closed   ,No   ,No   
None,POINT (37.1617698669434 36.2067194696933),"No, it appears destroyed   ",0.0,Closed   ,No   ,No   
None,POINT (37.1622043848038 36.2067021556879),Yes   ,75.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1593183279037 36.1902651087484),Yes   ,75.0,Works with the Council   ,No   ,No   
None,POINT (37.1598386764526 36.1912608668765),Yes   ,75.0,Works with the Council   ,No   ,No   
None,POINT (37.1587711572647 36.1917284358899),Yes   ,75.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1637868881226 36.1949147577881),Yes   ,75.0,Works with the Council   ,No   ,No   
None,POINT (37.1515238285065 36.2018930424353),"No, it appears closed   ",0.0,Closed   ,No   ,No   
None,POINT (37.1542972326279 36.2000619522544),"No, it appears closed   ",0.0,Closed   ,No   ,No   
None,POINT (37.1550697088242 36.1965208573108),Yes   ,75.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1596884727478 36.1933562469721),Yes   ,75.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1604019403458 36.1922999053371),Yes   ,75.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1603322029114 36.1930315533143),Yes   ,75.0,Works with the Council   ,No   ,No   
None,POINT (37.1670752763748 36.1943130031216),Yes   ,75.0,Works with the Council   ,No   ,No   
None,POINT (37.1666783094406 36.1957632673013),Yes   ,75.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1699184179306 36.198239477183),"No, it appears closed   ",0.0,Closed   ,No   ,No   
None,POINT (37.1714150905609 36.204996707393),Yes   ,65.0,Works with the Council   ,No   ,No   
None,POINT (37.1703904867172 36.2030574723038),"No, it appears closed   ",0.0,Closed   ,No   ,No   
